-,-,-
s
86.20,-5.50,180.57
86.19,-5.50,180.57
86.18,-5.50,180.58
86.17,-5.50,180.58
86.17,-5.50,180.58
86.16,-5.50,180.59
86.16,-5.51,180.60
86.16,-5.50,180.60
86.16,-5.50,180.61
86.16,-5.51,180.62
86.16,-5.51,180.62
86.16,-5.51,180.62
86.15,-5.51,180.63
86.15,-5.52,180.63
86.15,-5.52,180.63
86.15,-5.52,180.62
86.14,-5.52,180.63
86.14,-5.52,180.63
86.15,-5.52,180.63
86.14,-5.52,180.64
86.14,-5.52,180.65
86.15,-5.52,180.65
86.15,-5.53,180.66
86.15,-5.53,180.66
86.15,-5.53,180.67
86.15,-5.53,180.67
86.16,-5.53,180.67
86.16,-5.53,180.68
86.16,-5.53,180.68
86.16,-5.54,180.69
86.15,-5.53,180.69
86.15,-5.53,180.68
86.14,-5.53,180.69
86.14,-5.53,180.69
86.14,-5.53,180.69
86.14,-5.53,180.68
86.13,-5.53,180.67
86.13,-5.53,180.67
86.12,-5.53,180.66
86.12,-5.53,180.66
86.12,-5.53,180.65
86.11,-5.52,180.64
86.10,-5.52,180.64
86.09,-5.52,180.64
86.09,-5.53,180.64
86.08,-5.53,180.64
86.07,-5.53,180.64
86.07,-5.52,180.64
86.06,-5.52,180.63
86.06,-5.52,180.64
86.07,-5.52,180.63
86.06,-5.52,180.63
86.06,-5.52,180.63
86.05,-5.52,180.63
86.04,-5.52,180.63
86.04,-5.52,180.63
86.03,-5.52,180.63
86.03,-5.52,180.63
86.02,-5.52,180.63
86.01,-5.52,180.63
86.01,-5.53,180.63
86.00,-5.53,180.62
86.01,-5.53,180.62
86.00,-5.52,180.61
86.00,-5.53,180.61
86.00,-5.53,180.62
86.00,-5.53,180.61
86.01,-5.53,180.61
86.01,-5.53,180.61
86.01,-5.52,180.61
86.01,-5.52,180.61
86.01,-5.53,180.62
86.01,-5.52,180.62
86.02,-5.53,180.63
86.03,-5.53,180.63
86.04,-5.53,180.64
86.04,-5.53,180.64
86.04,-5.53,180.63
86.03,-5.53,180.63
86.03,-5.53,180.63
86.02,-5.53,180.64
86.02,-5.53,180.63
86.01,-5.53,180.63
86.01,-5.53,180.62
86.00,-5.53,180.62
86.00,-5.53,180.63
86.00,-5.52,180.62
85.99,-5.52,180.61
86.00,-5.52,180.62
85.99,-5.52,180.63
86.00,-5.52,180.63
86.01,-5.52,180.64
86.01,-5.52,180.64
86.01,-5.52,180.65
86.01,-5.52,180.65
86.02,-5.52,180.64
86.02,-5.52,180.64
86.02,-5.51,180.63
86.02,-5.51,180.63
86.02,-5.51,180.63
86.02,-5.51,180.63
86.02,-5.51,180.62
86.02,-5.51,180.63
86.02,-5.51,180.63
86.03,-5.51,180.63
86.03,-5.51,180.63
86.04,-5.51,180.63
86.03,-5.51,180.64
86.03,-5.51,180.65
86.03,-5.51,180.65
86.04,-5.52,180.66
86.04,-5.51,180.66
86.04,-5.51,180.65
86.04,-5.51,180.64
86.04,-5.51,180.63
86.03,-5.51,180.63
86.02,-5.51,180.63
86.02,-5.51,180.63
86.02,-5.51,180.63
86.02,-5.51,180.63
86.02,-5.51,180.64
86.02,-5.51,180.64
86.03,-5.51,180.64
86.02,-5.51,180.64
86.02,-5.51,180.64
86.02,-5.51,180.63
86.02,-5.51,180.63
86.02,-5.50,180.63
86.02,-5.50,180.63
86.02,-5.50,180.63
86.01,-5.50,180.63
86.01,-5.50,180.62
86.00,-5.50,180.63
86.00,-5.50,180.63
86.00,-5.50,180.62
86.00,-5.50,180.62
86.00,-5.50,180.62
86.00,-5.50,180.62
86.00,-5.50,180.62
86.00,-5.50,180.62
86.00,-5.50,180.62
86.01,-5.50,180.62
86.01,-5.50,180.63
86.01,-5.50,180.63
86.02,-5.50,180.63
86.02,-5.50,180.64
86.03,-5.50,180.64
86.03,-5.50,180.64
86.03,-5.50,180.64
86.03,-5.50,180.64
86.04,-5.50,180.64
86.03,-5.50,180.64
86.04,-5.50,180.64
86.04,-5.50,180.64
86.05,-5.50,180.65
86.06,-5.50,180.65
86.06,-5.50,180.66
86.07,-5.50,180.66
86.08,-5.50,180.66
86.07,-5.50,180.66
86.06,-5.50,180.65
86.05,-5.51,180.64
86.05,-5.51,180.63
86.04,-5.50,180.63
86.03,-5.51,180.62
86.02,-5.51,180.61
86.01,-5.51,180.61
86.00,-5.51,180.61
85.99,-5.51,180.61
85.98,-5.51,180.60
85.99,-5.51,180.61
86.00,-5.51,180.61
86.01,-5.51,180.62
86.02,-5.51,180.62
86.02,-5.51,180.63
86.03,-5.51,180.63
86.04,-5.50,180.63
86.04,-5.50,180.63
86.04,-5.50,180.63
86.04,-5.50,180.63
86.04,-5.50,180.63
86.05,-5.50,180.63
86.05,-5.50,180.63
86.05,-5.50,180.63
86.05,-5.50,180.64
86.05,-5.51,180.64
86.05,-5.51,180.64
86.06,-5.51,180.63
86.06,-5.51,180.64
86.06,-5.51,180.64
86.07,-5.51,180.64
86.07,-5.51,180.64
86.07,-5.51,180.65
86.07,-5.51,180.65
86.07,-5.51,180.65
86.07,-5.51,180.65
86.07,-5.51,180.65
86.07,-5.50,180.64
86.07,-5.50,180.64
86.07,-5.50,180.64
86.08,-5.51,180.65
86.08,-5.51,180.65
86.09,-5.51,180.65
86.09,-5.51,180.65
86.09,-5.51,180.65
86.10,-5.51,180.66
86.10,-5.51,180.66
86.10,-5.51,180.67
86.10,-5.51,180.68
86.10,-5.52,180.68
86.10,-5.51,180.69
86.10,-5.52,180.69
86.11,-5.52,180.70
86.12,-5.52,180.70
86.12,-5.51,180.70
86.13,-5.51,180.70
86.13,-5.51,180.69
86.13,-5.51,180.70
86.13,-5.51,180.69
86.11,-5.51,180.69
86.11,-5.51,180.68
86.10,-5.51,180.68
86.09,-5.51,180.67
86.09,-5.52,180.68
86.08,-5.51,180.67
86.08,-5.51,180.67
86.08,-5.51,180.67
86.07,-5.51,180.67
86.07,-5.51,180.67
86.08,-5.51,180.67
86.08,-5.51,180.66
86.09,-5.51,180.66
86.09,-5.51,180.67
86.09,-5.51,180.67
86.09,-5.51,180.68
86.09,-5.51,180.68
86.09,-5.51,180.68
86.09,-5.51,180.68
86.09,-5.51,180.68
86.09,-5.51,180.67
86.09,-5.51,180.67
86.09,-5.50,180.67
86.09,-5.51,180.68
86.09,-5.51,180.69
86.10,-5.51,180.70
86.10,-5.51,180.70
86.11,-5.51,180.70
86.12,-5.51,180.70
86.12,-5.51,180.70
