-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.26,1.47,-0.10,-57.98,59.39,265.20,1.50,277.88,3,457,0,6
0.47,1.71,-0.01,-48.77,45.72,268.55,1.78,276.75,3,461,0,6
0.67,1.81,-0.07,-44.13,39.67,250.61,1.93,257.54,3,462,0,4
0.94,2.01,-0.08,-47.79,46.57,226.50,2.22,236.13,3,462,0,1
1.53,1.91,-0.21,-43.64,54.81,217.65,2.46,228.65,4,465,0,0
1.74,1.70,0.05,-48.71,59.14,188.29,2.43,203.28,4,471,0,0
2.39,1.16,0.07,-39.25,53.83,147.52,2.66,161.87,4,471,0,0
2.96,0.74,0.07,-51.33,11.66,93.38,3.05,107.20,4,469,0,0
2.44,1.04,0.70,-52.19,-46.26,11.17,2.74,70.63,5,466,0,0
1.61,1.01,0.55,5.31,-47.55,-40.28,1.98,62.54,5,462,0,2
-0.78,2.01,-0.69,150.21,-36.68,-127.50,2.27,200.41,6,354,0,46
-0.06,0.79,0.02,175.96,28.69,-177.86,0.79,251.83,9,355,0,81
0.50,1.15,0.40,96.19,32.59,-176.88,1.32,203.96,13,347,0,125
0.47,1.33,0.09,1.53,38.82,-47.73,1.41,61.54,31,310,0,138
0.18,0.98,0.12,-4.46,13.79,-19.71,1.01,24.47,65,300,0,134
0.18,0.98,0.10,10.68,5.07,-11.72,1.00,16.65,109,304,6,139
0.16,0.94,0.15,13.12,0.37,-8.54,0.97,15.66,202,328,11,141
0.16,0.96,0.13,2.99,0.43,-6.47,0.98,7.14,397,349,19,143
0.15,0.97,0.13,-2.01,0.06,-6.10,0.99,6.43,380,369,28,139
0.15,0.98,0.12,-5.68,0.18,-3.05,0.99,6.45,396,388,32,131
0.16,0.98,0.11,-6.16,-0.12,-2.81,1.00,6.77,502,409,40,122
0.16,0.99,0.11,-4.64,-0.85,-2.99,1.01,5.58,525,429,48,107
0.16,0.99,0.11,1.71,-1.83,-4.33,1.01,5.01,393,441,55,97
0.16,0.97,0.12,6.47,-3.42,-7.93,0.99,10.79,1408,461,67,74
0.17,0.98,0.12,4.33,-2.81,-8.24,1.00,9.72,746,476,76,64
0.17,0.96,0.12,4.94,-2.93,-9.70,0.99,11.28,572,483,79,51
0.18,1.01,0.12,7.26,-3.66,-12.08,1.03,14.57,947,491,89,50
0.19,1.08,0.12,12.82,-4.94,-18.49,1.10,23.04,816,505,92,40
