-,-,-,-,-,-,-,-,-,-,-,-
'a'
0.12,0.96,0.07,0.67,0.49,-0.31,0.97,0.88,12,589,12,86
0.12,0.96,0.07,0.73,0.43,-0.31,0.97,0.90,12,592,12,88
0.12,0.96,0.07,0.79,0.61,-0.18,0.97,1.02,12,588,11,90
0.12,0.96,0.07,0.79,0.55,-0.31,0.97,1.01,13,591,12,89
0.12,0.96,0.07,0.73,0.73,-0.24,0.97,1.06,12,590,10,88
0.12,0.96,0.07,0.67,0.79,-0.18,0.97,1.06,12,589,14,85
0.12,0.96,0.07,0.73,0.61,-0.37,0.97,1.02,13,587,12,86
0.12,0.96,0.07,0.85,0.37,-0.18,0.97,0.95,13,589,11,85
0.12,0.96,0.07,0.55,0.43,-0.49,0.97,0.85,12,590,11,87
0.12,0.96,0.07,0.73,0.67,-0.31,0.97,1.04,13,590,9,90
0.12,0.96,0.07,0.73,0.73,-0.24,0.97,1.06,12,588,13,88
0.12,0.96,0.07,0.67,0.49,-0.24,0.97,0.87,12,589,12,88
0.12,0.96,0.07,0.67,0.61,-0.31,0.97,0.96,12,588,11,90
0.12,0.96,0.07,0.79,0.61,-0.18,0.97,1.02,12,589,13,87
0.12,0.96,0.07,0.61,0.67,-0.06,0.97,0.91,12,589,11,89
0.12,0.96,0.07,0.73,0.49,-0.43,0.97,0.98,12,589,14,89
0.12,0.96,0.07,0.85,0.79,-0.37,0.97,1.22,12,589,11,86
0.12,0.96,0.07,0.85,0.55,-0.43,0.97,1.10,12,592,10,87
0.12,0.96,0.07,0.98,0.73,-0.31,0.97,1.26,12,586,13,87
0.12,0.96,0.07,0.73,0.49,-0.37,0.97,0.95,13,589,10,86
0.12,0.96,0.07,0.98,0.55,-0.43,0.97,1.20,13,593,12,90
0.12,0.96,0.07,0.73,0.67,-0.18,0.97,1.01,12,589,13,88
0.12,0.96,0.07,0.85,0.43,-0.31,0.97,1.00,12,590,12,89
0.12,0.96,0.07,0.61,0.55,-0.18,0.97,0.84,12,587,10,89
0.12,0.96,0.07,0.49,0.49,-0.31,0.97,0.75,12,588,11,86
0.12,0.96,0.07,0.55,0.67,-0.12,0.97,0.88,12,590,11,89
0.12,0.96,0.07,0.43,0.49,0.00,0.97,0.65,12,590,12,88
0.12,0.96,0.07,0.55,0.49,-0.06,0.97,0.74,13,590,11,89
0.12,0.96,0.07,0.55,0.61,-0.37,0.97,0.90,12,593,11,90
0.12,0.96,0.07,0.73,0.49,-0.24,0.97,0.91,12,592,11,89
0.12,0.96,0.07,0.79,0.55,-0.49,0.97,1.08,12,590,12,87
0.12,0.96,0.07,0.61,0.49,-0.37,0.97,0.86,12,592,10,88
0.12,0.96,0.07,0.67,0.49,-0.24,0.97,0.87,12,589,13,89
0.12,0.96,0.07,0.49,0.61,-0.37,0.97,0.86,12,591,12,88
0.12,0.96,0.07,0.67,0.61,-0.31,0.97,0.96,12,591,9,89
0.12,0.96,0.07,0.73,0.67,-0.24,0.97,1.02,12,589,13,90
0.12,0.96,0.07,0.79,0.67,-0.31,0.97,1.08,12,589,12,89
0.12,0.96,0.07,0.67,0.49,-0.31,0.97,0.88,12,590,11,89
0.12,0.96,0.07,0.79,0.61,-0.12,0.97,1.01,12,589,10,86
0.12,0.96,0.07,0.73,0.55,-0.18,0.97,0.93,12,592,11,89
0.12,0.96,0.07,0.79,0.73,-0.37,0.97,1.14,13,590,12,89
0.12,0.96,0.07,0.73,0.67,-0.24,0.97,1.02,12,590,12,90
0.12,0.96,0.07,0.61,0.49,-0.37,0.97,0.86,12,588,9,88
0.12,0.96,0.07,0.85,0.55,-0.31,0.97,1.06,12,590,11,90
0.12,0.96,0.07,0.79,0.61,-0.24,0.97,1.03,12,590,9,89
0.12,0.96,0.07,0.67,0.61,-0.31,0.97,0.96,12,588,10,89
0.12,0.96,0.07,0.73,0.61,-0.24,0.97,0.98,13,589,10,86
0.12,0.96,0.07,0.67,0.67,-0.31,0.97,1.00,12,588,10,86
0.12,0.96,0.07,0.67,0.55,-0.31,0.97,0.92,12,593,11,90
0.12,0.96,0.07,0.85,0.61,-0.37,0.97,1.11,12,588,12,86
0.12,0.96,0.07,0.73,0.43,-0.31,0.97,0.90,12,594,11,89
0.12,0.96,0.07,0.55,0.61,-0.49,0.97,0.96,12,590,10,90
0.12,0.96,0.07,0.67,0.49,-0.31,0.97,0.88,12,585,11,87
