-,-,-,-,-,-,-,-,-,-,-,-





'w'













0.25,1.08,0.24,36.19,5.55,-143.74,1.14,148.33,2,570,12,149
0.19,1.04,0.14,22.40,12.76,-50.42,1.07,56.62,3,348,14,154
0.13,1.02,0.11,1.77,9.40,-20.94,1.04,23.02,3,221,14,155
0.10,0.96,0.10,6.90,6.23,-10.80,0.97,14.25,4,170,16,153
0.10,0.96,0.11,7.87,2.81,-6.35,0.97,10.50,4,143,17,159
0.11,0.98,0.12,6.90,1.28,-3.54,0.99,7.86,4,127,19,163
0.10,0.97,0.12,0.79,0.12,-1.40,0.98,1.62,5,120,20,163
0.09,0.98,0.12,-1.46,0.00,-1.16,0.99,1.87,5,115,21,158
0.10,0.98,0.12,3.17,2.14,-2.93,0.99,4.82,5,115,27,159
0.10,0.96,0.13,3.05,1.83,-3.85,0.98,5.24,5,117,37,154
0.11,0.98,0.11,2.62,1.89,-5.25,1.00,6.17,5,121,45,144
0.11,0.97,0.12,3.72,1.89,-6.10,0.98,7.40,5,126,61,136
0.11,0.97,0.13,5.19,2.56,-6.65,0.98,8.82,5,129,70,128
0.13,0.97,0.13,4.21,2.69,-6.16,0.98,7.93,5,133,84,116
0.11,0.95,0.13,6.90,-1.16,-5.86,0.96,9.12,5,136,86,109
0.12,0.97,0.13,6.23,0.31,-6.16,0.98,8.77,5,138,96,95
0.12,0.96,0.14,5.37,0.73,-5.86,0.98,7.98,5,142,101,81
0.14,0.97,0.14,5.49,0.67,-7.20,0.99,9.08,4,147,107,62
0.13,0.97,0.14,8.24,15.38,-11.90,0.99,21.12,4,151,113,46
0.14,0.96,0.14,7.75,-0.37,-16.30,0.98,18.05,3,156,116,27
0.12,0.95,0.21,-0.24,0.98,-24.23,0.98,24.25,3,166,122,21
0.16,1.06,0.16,-14.34,4.52,-36.13,1.09,39.14,2,178,132,15
0.17,1.06,0.19,-25.15,9.70,-45.41,1.09,52.81,2,204,137,12
0.24,1.23,0.10,-31.68,12.63,-63.05,1.25,71.68,2,240,139,12
0.22,1.32,0.17,-24.72,13.37,-90.33,1.35,94.60,1,303,141,11
0.25,1.24,0.12,-16.48,18.80,-123.54,1.27,126.04,1,368,142,12
0.32,1.48,0.13,-24.05,24.29,-157.41,1.52,161.08,1,456,135,11
0.31,1.71,0.09,-9.64,23.62,-238.95,1.74,240.31,1,531,119,10
0.51,2.24,0.11,-1.16,26.43,-307.43,2.30,308.57,1,626,71,6
0.80,2.13,0.17,22.09,28.50,-328.98,2.28,330.95,1,793,31,4
-0.03,2.20,0.19,99.67,23.86,-325.81,2.21,341.55,1,857,14,0
-0.71,0.12,-0.68,202.94,15.26,-210.94,0.99,293.11,1,873,6,16
-0.65,0.30,-0.41,29.36,-27.28,-19.71,0.83,44.66,1,881,6,18
-0.48,0.93,0.11,-7.81,-39.12,52.25,1.05,65.74,1,896,5,17
-0.49,0.77,0.10,59.33,-14.53,91.13,0.92,109.70,1,896,3,17
-0.25,0.35,-0.27,73.73,-3.05,160.58,0.50,176.73,1,896,5,17
-0.03,0.50,-0.24,21.18,-11.72,203.06,0.56,204.50,1,899,3,17
0.08,0.79,-0.10,3.85,-24.05,227.91,0.81,229.20,1,903,3,19
0.31,0.80,-0.14,-13.85,-33.33,251.22,0.87,253.80,1,902,1,17
0.38,1.03,0.07,-40.95,-30.82,237.30,1.10,242.78,1,900,3,16
0.53,1.28,0.21,-44.56,-14.77,197.45,1.40,202.95,1,891,2,16
0.72,1.24,0.06,-35.40,-10.99,168.21,1.44,172.25,1,888,4,14
0.84,1.37,0.16,-49.01,-48.52,183.78,1.62,196.29,1,878,5,16
0.54,1.25,0.24,-41.63,-67.44,189.58,1.38,205.48,1,880,6,18
0.50,1.24,0.21,-61.95,-53.41,201.54,1.35,217.50,1,882,5,16
0.55,1.33,0.42,-77.27,-31.01,172.30,1.50,191.36,1,886,5,15
0.66,1.42,0.66,-70.37,-15.56,182.56,1.70,196.27,1,885,3,15
0.90,1.41,0.51,-30.88,-5.07,148.44,1.75,151.70,1,887,3,14
1.43,0.92,0.05,-8.24,-12.02,101.68,1.70,102.72,1,882,4,15
1.75,0.77,0.31,-44.49,-39.49,44.13,1.94,74.07,1,878,4,15
2.73,3.76,0.74,-52.25,-19.96,-102.48,4.70,116.75,1,859,4,31
-0.38,0.97,-0.12,181.58,-52.61,-190.19,1.05,268.16,3,658,4,60
-0.11,1.10,0.03,35.83,42.11,-199.71,1.10,207.22,4,633,5,106
0.41,1.43,0.45,34.73,31.13,-190.12,1.56,195.76,3,597,10,135
0.34,1.58,0.14,-6.96,0.37,-149.78,1.62,149.94,3,404,10,152
0.25,1.04,0.04,-32.53,12.57,-38.15,1.07,51.69,4,203,12,149
0.13,0.99,0.04,-10.56,-4.64,-5.43,1.00,12.75,4,136,18,154
0.12,0.97,0.05,6.96,0.85,-6.59,0.98,9.62,5,115,19,152
0.12,0.95,0.08,11.05,1.95,-4.64,0.96,12.14,5,112,24,151
0.11,0.97,0.07,7.32,2.14,-3.97,0.98,8.60,6,113,33,149
0.11,1.00,0.05,4.27,2.50,-3.48,1.00,6.05,6,120,43,146
0.11,1.00,0.05,6.77,3.85,-5.19,1.00,9.36,6,123,56,137
0.13,0.96,0.07,8.00,4.27,-5.13,0.97,10.41,6,129,65,127
0.12,0.97,0.07,6.10,3.66,-4.94,0.98,8.67,6,134,74,110
0.13,0.97,0.08,6.10,3.30,-6.65,0.98,9.61,5,137,78,95
0.14,0.97,0.07,7.26,3.11,-7.39,0.99,10.82,5,142,87,77
0.14,0.96,0.08,20.87,-3.42,-8.18,0.97,22.68,5,143,88,63
0.14,0.99,0.09,12.21,-0.49,-8.00,1.00,14.60,5,148,97,51
0.15,1.01,0.10,13.24,-1.40,-11.29,1.03,17.46,5,152,101,42
0.14,0.94,0.11,13.61,-1.22,-14.16,0.96,19.68,4,153,102,33
0.16,0.93,0.12,7.75,0.67,-16.48,0.95,18.22,4,159,113,26
0.17,0.97,0.11,-1.95,2.81,-20.14,0.99,20.43,3,160,120,23
0.18,0.97,0.12,-5.25,3.42,-20.26,1.00,21.21,3,165,127,18
0.19,0.99,0.12,-12.51,5.25,-27.83,1.01,30.96,3,168,129,9
0.21,1.01,0.11,-16.30,7.26,-31.86,1.03,36.52,2,178,137,11
0.22,1.11,0.11,-21.79,8.79,-43.58,1.14,49.51,2,193,142,12
0.25,1.01,0.11,-19.71,11.84,-61.22,1.04,65.40,2,227,144,11
0.28,1.13,0.08,-29.72,15.50,-70.13,1.17,77.73,1,273,143,9
0.31,1.32,0.04,-25.27,14.34,-94.67,1.36,99.02,1,320,140,11
0.32,1.34,0.05,-13.00,14.53,-132.87,1.38,134.30,1,358,146,9
0.36,1.70,0.03,-14.10,14.89,-182.98,1.74,184.13,1,399,137,9
0.39,1.58,0.17,-9.58,26.06,-245.00,1.63,246.56,1,476,102,8
0.67,2.02,0.23,-53.16,50.05,-319.76,2.14,327.99,1,622,53,4
0.78,2.73,0.32,-56.70,49.74,-335.08,2.86,343.47,1,801,25,2
-0.16,1.32,-0.08,99.30,42.85,-339.36,1.33,356.17,1,861,11,8
-0.11,0.18,-0.64,144.17,-13.31,-173.16,0.68,225.71,1,866,6,15
-0.50,0.59,-0.20,-0.67,-91.43,40.41,0.80,99.96,1,881,5,15
-0.56,0.72,0.08,-1.65,-102.42,124.27,0.91,161.04,1,896,4,15
-0.48,0.95,0.20,59.63,-62.13,172.24,1.09,192.57,1,899,3,15
-0.09,0.44,-0.27,113.34,-26.92,206.24,0.52,236.86,1,897,3,17
0.15,0.47,-0.34,54.99,-24.29,229.61,0.60,237.35,1,897,4,15
0.30,0.84,-0.16,9.22,-38.94,258.97,0.91,262.05,1,898,3,15
0.53,0.97,-0.12,2.44,-49.13,258.42,1.11,263.06,1,900,2,15
0.54,1.06,-0.06,-13.55,-56.15,242.25,1.19,249.04,1,898,3,16
0.55,1.20,-0.00,-28.38,-40.04,216.74,1.32,222.22,1,894,3,15
0.64,1.33,-0.00,-46.51,-24.23,200.07,1.48,206.83,1,886,3,13
0.64,1.30,0.01,-55.18,-11.90,192.02,1.45,200.14,1,881,3,14
0.76,1.42,0.16,-68.54,-12.57,203.31,1.62,214.92,1,880,5,16
0.77,1.41,0.34,-67.69,-8.42,183.90,1.64,196.14,1,882,3,16
0.83,1.51,0.53,-61.71,-0.79,162.35,1.81,173.69,1,884,3,14
0.96,1.38,0.46,-12.88,5.31,123.29,1.74,124.08,1,882,3,14
1.28,0.91,0.09,-0.12,16.66,77.21,1.57,78.99,1,882,5,15
1.59,0.60,0.13,-43.09,6.16,31.43,1.71,53.69,1,875,4,15
2.32,1.40,0.39,-39.73,19.29,-138.67,2.74,145.54,1,849,4,34
-0.37,0.14,0.15,113.10,11.96,-181.76,0.42,214.41,2,702,4,70
-0.01,0.95,0.13,44.98,25.51,-181.70,0.96,188.92,3,705,7,107
0.28,1.24,0.23,28.75,19.17,-175.60,1.29,178.96,2,603,6,129
0.30,1.08,0.17,16.91,15.01,-83.92,1.13,86.92,3,403,10,142
0.20,1.00,0.12,-0.98,11.66,-27.89,1.02,30.25,3,224,14,146
0.12,0.97,0.09,0.55,0.67,-3.91,0.99,4.00,4,159,16,142
0.11,0.97,0.09,1.46,-0.18,-2.38,0.98,2.80,4,134,19,141
0.11,0.96,0.10,1.83,0.00,-1.22,0.97,2.20,5,122,23,144
0.09,0.98,0.09,0.12,-0.24,-0.55,0.99,0.61,5,119,27,150
0.10,0.96,0.11,-0.61,0.00,-0.55,0.97,0.82,5,117,34,147
0.09,0.99,0.09,1.83,1.46,-1.95,0.99,3.05,5,116,40,149
0.10,0.98,0.09,5.00,2.44,-2.75,0.99,6.21,6,117,46,145
0.11,0.95,0.10,4.27,2.75,-2.81,0.97,5.80,5,120,51,139
0.09,0.98,0.10,4.52,3.30,-3.48,0.99,6.59,5,120,58,136
0.11,0.97,0.11,5.92,2.99,-4.94,0.98,8.27,5,127,68,127
0.11,0.97,0.11,5.31,2.32,-5.13,0.98,7.74,5,129,71,124
0.11,0.98,0.11,5.00,2.08,-4.33,0.99,6.94,5,132,82,112
0.12,0.96,0.11,7.20,0.37,-6.10,0.97,9.45,5,134,87,105
0.13,0.97,0.13,4.46,0.37,-5.07,0.98,6.76,5,136,92,97
0.13,0.97,0.12,3.30,0.12,-5.68,0.99,6.56,5,143,96,80
0.13,0.98,0.12,3.72,-0.06,-7.51,1.00,8.38,4,146,104,61
0.12,0.97,0.12,8.00,-1.71,-13.49,0.99,15.77,4,150,106,47
0.14,0.96,0.13,6.65,-1.34,-14.83,0.98,16.31,4,156,118,32
0.13,0.94,0.14,4.94,0.55,-21.06,0.96,21.64,3,160,125,22
0.13,1.03,0.17,-11.78,4.39,-30.70,1.05,33.18,3,170,129,16
0.18,1.09,0.13,-21.55,8.06,-43.64,1.12,49.33,2,186,136,11
0.22,1.19,0.09,-29.11,10.44,-56.70,1.21,64.59,2,219,139,11
0.24,1.36,0.09,-21.73,9.03,-78.74,1.38,82.18,1,280,141,10
0.25,1.35,0.12,-10.44,11.17,-104.86,1.38,105.97,1,361,139,9
0.26,1.30,0.11,-4.27,13.85,-136.47,1.33,137.24,1,445,142,10
0.30,1.56,0.12,-6.04,15.56,-181.34,1.59,182.10,1,525,132,10
0.41,1.86,0.04,-0.12,20.39,-249.57,1.91,250.40,1,598,104,6
0.58,2.17,0.20,2.75,27.95,-329.35,2.26,330.54,1,724,52,4
0.74,2.48,0.20,-8.54,27.65,-323.61,2.60,324.90,1,848,23,2
-0.22,1.27,-0.13,118.35,20.20,-314.39,1.30,336.54,1,882,10,12
-0.09,0.09,-0.61,148.44,-32.65,-112.18,0.63,188.90,1,883,4,16
-0.31,0.54,-0.18,-21.06,-80.93,52.12,0.65,98.54,1,889,4,16
-0.39,0.85,0.20,-7.63,-76.11,89.05,0.96,117.39,1,898,3,15
-0.44,0.48,0.02,61.71,-42.66,121.89,0.65,143.12,1,900,5,19
-0.31,0.22,-0.22,40.59,-20.32,189.70,0.44,195.05,1,901,3,19
-0.12,0.57,-0.09,-13.73,-12.63,232.97,0.59,233.72,1,901,4,17
0.07,0.74,-0.03,-27.77,-30.52,241.88,0.74,245.38,1,901,2,18
0.15,0.83,0.05,-41.63,-34.79,246.09,0.85,252.00,1,897,2,17
0.36,1.19,0.23,-61.89,-31.68,211.43,1.27,222.56,1,892,3,16
0.44,1.29,0.20,-52.67,-9.83,174.93,1.37,182.95,1,878,2,17
0.63,1.33,0.14,-43.64,-11.17,174.38,1.47,180.10,1,854,3,15
0.73,1.43,0.17,-52.37,-34.36,170.35,1.62,181.50,1,842,1,16
0.66,1.33,0.16,-50.66,-56.34,189.27,1.49,203.87,1,855,3,15
0.49,1.39,0.28,-67.14,-48.52,174.50,1.50,193.16,1,867,2,16
0.70,1.40,0.31,-64.27,-27.47,200.81,1.60,212.62,1,872,3,14
0.77,1.38,0.44,-65.86,-5.37,163.57,1.64,176.42,1,875,1,16
0.90,1.29,0.36,-31.43,21.73,127.08,1.62,132.70,1,874,3,18
1.59,0.71,-0.03,-36.38,17.94,68.54,1.74,79.65,1,860,3,15
1.67,0.97,0.31,-86.36,6.65,-14.16,1.96,87.77,1,850,3,15
-0.22,1.52,0.02,148.38,-12.21,-161.38,1.54,219.56,2,651,3,47
-0.72,-0.66,-0.02,170.65,-5.07,-169.49,0.98,240.58,3,609,6,86
0.12,1.04,0.26,54.08,42.85,-190.98,1.08,203.06,3,642,8,124
0.26,1.11,0.18,22.52,2.44,-176.64,1.15,178.08,3,540,8,144
0.19,1.14,0.09,-17.27,10.01,-68.97,1.15,71.80,3,310,8,150
0.15,1.06,0.06,-13.98,10.62,-5.19,1.07,18.30,4,190,13,150
0.10,0.98,0.05,-5.80,-0.98,-2.38,0.99,6.34,5,142,16,147
0.09,0.97,0.06,-5.80,-2.62,-2.50,0.98,6.84,5,117,19,154
0.09,0.99,0.04,-5.49,-1.77,-2.08,0.99,6.13,6,103,19,153
0.09,0.96,0.06,-1.89,-0.61,-1.53,0.97,2.51,6,104,23,150
0.08,1.00,0.03,-0.98,0.67,-1.59,1.00,1.98,6,109,28,144
0.08,1.00,0.02,4.88,2.56,-3.36,1.01,6.46,6,115,35,144
