-,-,-,-,-,-,-,-,-,-,-,-
'w'
-0.32,0.84,0.06,-113.53,-13.92,189.15,0.90,221.04,0,0,2,3
-0.07,1.25,0.33,-116.27,-45.84,198.18,1.29,234.30,0,0,2,4
0.08,1.48,0.55,-99.30,-79.71,206.73,1.58,242.80,1,733,3,3
0.29,1.52,0.61,-85.21,-63.48,197.94,1.66,224.65,1,742,2,1
0.68,1.63,0.56,-96.56,-5.92,148.19,1.85,176.97,1,747,4,2
0.93,1.61,0.58,-90.21,40.47,59.08,1.95,115.18,0,0,2,0
0.73,1.65,0.77,-87.83,59.08,73.18,1.96,128.69,0,0,3,0
1.27,1.51,0.52,-25.94,46.81,121.15,2.04,132.45,0,0,3,0
1.34,1.14,0.40,-5.19,0.43,80.51,1.80,80.67,0,0,2,0
1.07,0.73,0.54,1.53,11.41,39.31,1.41,40.96,0,0,4,0
0.99,0.91,0.75,-8.24,39.92,44.37,1.54,60.25,0,0,4,0
1.30,1.17,0.50,37.96,48.34,34.67,1.82,70.57,0,0,3,0
2.11,3.87,0.02,53.10,20.20,-27.89,4.41,63.29,1,735,0,8
-0.44,0.05,0.36,102.48,-30.03,-125.31,0.57,164.64,1,662,0,29
-0.02,1.05,0.07,21.30,9.89,-140.14,1.05,142.09,1,657,0,57
0.32,1.13,0.17,31.74,14.89,-133.91,1.19,138.42,2,656,1,96
0.14,1.15,0.03,-21.06,21.67,-23.07,1.16,38.02,18,509,8,113
0.13,0.98,0.10,0.73,0.06,-7.75,1.00,7.79,51,487,26,116
0.13,0.98,0.09,3.54,-0.24,-5.25,0.99,6.34,122,483,40,129
0.13,0.98,0.10,4.21,-0.24,-3.66,0.99,5.59,171,481,48,126
0.12,0.97,0.11,1.16,0.24,-1.65,0.99,2.03,226,492,59,130
0.12,0.99,0.10,-2.50,0.37,-0.73,1.00,2.63,218,502,67,123
0.12,1.00,0.09,-4.58,1.22,-0.37,1.01,4.75,177,520,74,113
0.12,0.99,0.08,-2.87,1.10,-1.10,1.00,3.26,208,550,83,99
0.12,0.97,0.10,-0.06,-15.62,-3.30,0.98,15.97,147,582,93,86
0.12,0.99,0.09,-1.95,-0.12,-3.11,1.00,3.68,154,602,98,73
0.13,0.98,0.09,-1.16,-0.43,-3.91,0.99,4.10,144,624,108,63
0.13,0.98,0.09,-1.10,-0.31,-4.64,1.00,4.78,154,641,112,52
0.13,0.98,0.09,-0.61,-0.67,-4.39,1.00,4.49,140,660,112,43
0.14,1.06,0.07,0.85,-1.34,-6.90,1.07,7.08,135,679,125,35
0.14,1.02,0.09,17.88,-4.33,-16.17,1.04,24.50,127,701,123,26
0.16,1.01,0.08,21.00,-6.04,-19.23,1.03,29.10,111,735,135,17
0.17,1.11,0.07,23.62,-8.00,-19.53,1.12,31.68,90,762,134,8
0.19,1.12,0.10,25.57,-10.44,-29.60,1.14,40.49,70,787,143,1
0.16,1.26,0.22,13.18,-2.01,-61.46,1.29,62.89,50,799,150,0
0.20,1.21,0.18,5.86,2.44,-80.69,1.24,80.94,29,815,143,0
0.25,1.43,0.13,6.10,5.68,-104.61,1.46,104.95,17,819,147,1
0.31,1.74,-0.01,17.15,0.98,-146.91,1.77,147.91,10,816,136,0
0.37,2.04,-0.16,38.88,-11.96,-205.44,2.08,209.43,7,804,112,0
0.39,2.42,-0.11,49.01,-28.93,-279.05,2.45,284.80,3,791,66,0
0.44,1.82,-0.28,47.12,-38.82,-330.51,1.90,336.10,1,782,30,0
0.05,1.94,-0.38,29.48,-69.70,-313.78,1.98,322.78,0,0,6,1
-1.13,0.81,0.10,-18.13,-96.07,-124.82,1.39,158.55,0,0,0,4
-1.01,0.55,-0.02,29.30,-33.75,54.44,1.15,70.44,0,0,1,4
-0.68,-0.01,-0.51,6.29,-3.66,104.74,0.85,104.99,0,0,0,4
-0.76,0.34,-0.24,-66.53,-0.31,116.33,0.87,134.01,0,0,0,5
-0.68,0.57,-0.13,-70.68,-4.03,167.66,0.89,182.00,0,0,1,3
-0.44,0.61,-0.21,-87.28,-22.40,213.93,0.79,232.13,0,0,0,5
-0.28,1.29,0.23,-132.20,-35.46,231.14,1.34,268.63,0,0,2,3
0.13,1.55,0.42,-112.92,-37.72,229.31,1.61,258.37,0,0,2,4
0.23,1.62,0.52,-101.87,-44.19,227.66,1.72,253.30,0,0,0,3
0.70,1.89,0.60,-96.31,-10.62,197.81,2.10,220.27,0,0,0,0
1.06,1.85,0.65,-93.63,20.02,131.23,2.23,162.44,0,0,0,0
1.08,1.56,0.62,-68.54,45.78,76.60,2.00,112.52,0,0,0,0
1.08,1.27,0.53,-43.64,49.38,80.75,1.75,104.23,0,0,2,0
1.22,1.19,0.44,-29.05,32.96,96.07,1.76,105.64,0,0,2,0
1.17,0.94,0.41,-11.11,21.18,74.65,1.55,78.38,0,0,3,0
1.05,0.81,0.49,-10.86,26.49,39.61,1.42,48.88,0,0,2,1
1.40,2.25,0.69,84.23,34.91,-19.65,2.74,93.27,0,0,2,6
1.48,1.04,0.18,102.05,26.31,-76.84,1.81,130.43,1,691,0,15
0.06,1.12,0.07,37.90,45.04,-126.16,1.12,139.22,1,655,0,39
0.25,0.81,0.33,35.10,19.84,-122.68,0.91,129.13,1,644,0,72
0.48,1.16,0.15,-10.38,15.32,-56.52,1.26,59.47,8,558,9,90
0.15,1.02,0.09,3.48,3.23,-8.67,1.04,9.88,23,541,26,97
0.13,0.98,0.10,3.05,1.40,-4.03,0.99,5.25,37,532,37,100
0.12,0.99,0.10,6.29,-0.49,-2.81,1.00,6.90,52,531,43,116
0.11,0.97,0.11,3.48,0.43,-4.03,0.99,5.34,72,529,51,116
0.12,0.97,0.12,-2.56,1.53,-2.69,0.98,4.01,102,536,64,120
0.12,0.99,0.10,-4.88,0.98,-1.59,1.00,5.23,144,536,73,118
0.12,1.00,0.09,-3.60,0.61,-1.77,1.01,4.06,175,546,76,106
0.12,0.99,0.10,-1.59,0.37,-1.46,1.00,2.19,193,559,87,101
0.12,0.97,0.10,-1.16,-0.37,-2.08,0.99,2.41,171,579,94,88
0.12,0.99,0.09,-2.44,-0.61,-2.14,1.00,3.30,244,595,101,75
0.12,1.00,0.09,-1.40,-0.92,-3.30,1.01,3.70,169,617,101,61
0.12,1.01,0.09,0.37,-1.65,-5.13,1.02,5.40,173,638,109,54
0.12,0.97,0.10,-0.79,-0.92,-6.29,0.98,6.40,160,659,117,41
0.15,1.20,0.05,4.39,-1.71,-12.33,1.21,13.20,164,682,123,25
0.15,1.03,0.08,22.64,-5.92,-23.50,1.05,33.17,137,717,129,14
0.18,0.98,0.03,23.74,-8.61,-26.37,1.00,36.51,113,753,142,7
0.11,1.37,0.35,18.74,-9.89,-33.51,1.42,39.64,84,782,145,1
0.15,1.26,0.24,9.83,-0.98,-63.78,1.29,64.54,50,800,153,0
0.18,1.25,0.21,1.71,5.98,-85.21,1.28,85.43,27,813,149,1
0.24,1.41,0.11,2.20,8.18,-111.33,1.44,111.65,16,820,146,0
0.29,1.68,0.04,10.80,2.20,-166.32,1.70,166.69,10,820,133,0
0.23,1.85,-0.04,47.97,-10.50,-231.45,1.87,236.60,7,812,115,0
0.43,2.34,0.04,56.27,-14.10,-299.32,2.38,304.89,4,796,72,0
0.52,1.78,0.08,25.76,-9.28,-338.68,1.86,339.79,2,783,34,0
0.49,2.21,-0.34,15.69,-27.95,-303.04,2.29,304.73,0,0,8,0
-2.33,-0.67,-0.35,46.51,-72.63,-175.29,2.45,195.36,0,0,0,3
-1.32,1.01,0.13,30.27,-27.16,75.62,1.67,85.87,0,0,1,1
-0.67,0.06,-0.64,86.49,-16.60,135.93,0.93,161.96,0,0,1,5
-0.83,0.12,-0.50,-35.22,-20.57,131.77,0.98,137.94,0,0,0,4
-1.06,0.68,0.02,-80.32,10.25,193.91,1.26,210.14,0,0,1,2
-0.53,0.82,-0.17,-68.36,37.78,244.38,0.99,256.56,0,0,0,3
-0.09,1.25,0.01,-94.36,20.14,250.24,1.26,268.20,0,0,1,3
0.06,1.59,0.28,-83.68,-20.69,263.49,1.61,277.23,1,719,0,0
0.32,1.81,0.51,-67.57,-27.71,282.47,1.91,291.76,1,720,1,0
0.85,1.74,0.37,-68.12,5.92,249.33,1.97,258.53,1,719,0,1
1.31,2.02,0.49,-87.34,34.12,159.36,2.46,184.90,1,720,4,0
1.46,1.52,0.33,-47.61,34.42,99.85,2.13,115.85,1,722,3,0
1.39,1.57,0.35,-36.74,20.57,84.59,2.12,94.50,1,727,2,0
1.48,1.16,0.22,-32.47,10.68,65.61,1.89,73.98,1,729,1,0
1.37,1.06,0.42,-22.22,11.35,26.98,1.78,36.75,1,733,3,0
1.21,0.74,0.46,8.18,25.57,18.37,1.50,32.53,1,739,2,0
1.34,0.86,0.34,22.34,28.50,5.68,1.63,36.66,1,742,1,0
1.45,0.15,0.41,94.36,13.06,-101.81,1.52,139.42,1,706,0,10
-0.44,0.35,0.30,120.85,-5.68,-131.96,0.64,179.02,1,645,0,39
0.22,1.53,0.20,24.78,26.61,-163.15,1.56,167.15,1,646,0,76
0.81,0.76,0.27,29.30,15.56,-64.33,1.15,72.38,10,512,5,105
0.14,1.00,0.11,5.07,1.04,-8.67,1.01,10.09,49,506,30,110
0.14,0.98,0.10,-0.79,1.28,-5.43,0.99,5.64,109,493,39,121
0.12,0.99,0.10,0.61,0.37,-3.72,1.00,3.79,134,492,50,125
0.14,0.99,0.10,0.61,0.92,-4.21,1.00,4.35,230,500,63,124
0.14,0.97,0.11,-1.83,1.04,-2.38,0.99,3.18,251,506,75,118
0.13,0.98,0.11,-4.52,0.73,-1.34,0.99,4.77,276,515,83,109
0.13,0.99,0.10,-5.86,0.55,-1.22,1.00,6.01,338,515,91,92
0.13,0.99,0.09,-5.31,0.73,-1.28,1.00,5.51,378,533,102,71
0.13,0.99,0.09,-1.83,-0.12,-3.48,1.00,3.93,270,555,112,55
0.13,0.99,0.09,-2.56,-0.18,-3.23,1.00,4.13,339,579,116,37
0.15,1.01,0.07,-1.16,-1.59,-6.23,1.02,6.53,349,606,127,30
0.15,1.09,0.07,3.36,-2.62,-9.46,1.11,10.38,240,634,127,21
0.15,0.95,0.10,17.03,-6.41,-15.69,0.97,24.02,201,667,133,15
0.16,0.98,0.11,12.88,-6.71,-12.94,1.00,19.45,173,697,144,8
0.16,1.01,0.13,10.62,-6.47,-14.40,1.03,19.03,157,731,141,4
0.16,1.16,0.16,3.30,-4.76,-23.07,1.18,23.79,116,765,145,1
0.17,1.28,0.22,-0.24,-1.10,-46.02,1.31,46.03,79,790,146,0
0.19,1.20,0.19,0.92,3.60,-60.97,1.23,61.09,58,802,153,0
0.25,1.25,0.11,0.73,8.67,-77.33,1.28,77.82,35,814,156,1
0.28,1.38,0.08,7.69,6.29,-101.68,1.41,102.17,22,814,153,1
0.33,1.59,-0.04,15.01,1.89,-139.04,1.62,139.86,13,809,138,0
0.28,1.80,-0.01,37.60,-9.28,-193.05,1.82,196.90,8,803,122,0
0.38,1.98,-0.10,51.45,-15.08,-263.98,2.02,269.37,5,790,89,0
0.46,2.23,0.19,35.58,-14.83,-333.19,2.28,335.41,3,771,45,0
0.48,1.74,-0.13,6.29,-2.32,-345.28,1.81,345.34,1,764,18,0
0.06,1.35,-0.02,21.97,-42.30,-306.09,1.36,309.78,0,0,4,3
-0.71,0.03,0.10,18.55,-66.10,-95.09,0.72,117.29,0,0,0,5
-0.96,0.73,0.11,18.25,-29.42,133.06,1.21,137.49,0,0,0,2
-0.73,0.48,-0.19,38.39,8.67,160.71,0.89,165.45,0,0,0,3
-0.67,0.28,-0.44,6.77,18.98,193.60,0.85,194.65,0,0,0,4
-0.51,0.58,-0.39,-48.40,5.80,231.93,0.87,237.00,0,0,1,4
-0.34,0.96,-0.19,-75.01,-10.07,253.48,1.03,264.54,0,0,1,3
-0.13,1.17,-0.06,-69.34,-24.66,251.65,1.18,262.19,0,0,0,5
0.06,1.45,0.12,-90.82,-53.10,267.27,1.45,287.23,0,0,3,2
0.39,1.75,0.51,-74.52,-43.76,260.99,1.87,274.92,0,0,2,1
0.89,1.72,0.40,-75.81,-2.81,218.26,1.98,231.07,0,0,3,0
1.33,1.90,0.59,-89.66,20.45,135.93,2.40,164.11,1,743,3,0
1.24,1.49,0.59,-76.23,42.85,92.16,2.03,127.05,0,0,4,0
1.48,1.66,0.54,-51.45,56.64,121.28,2.29,143.40,1,752,1,0
1.77,1.16,0.24,-6.90,36.32,105.77,2.13,112.05,1,755,0,0
1.64,0.88,0.31,-1.40,9.89,59.45,1.88,60.28,1,753,2,0
1.38,0.82,0.47,-1.46,5.98,-3.17,1.67,6.93,1,749,1,1
1.94,0.32,0.13,122.13,8.61,-92.22,1.97,153.28,1,700,0,14
0.02,0.79,0.22,28.14,23.01,-146.97,0.82,151.40,1,665,0,39
0.19,1.18,0.14,18.19,12.39,-129.21,1.20,131.07,1,647,2,72
0.26,1.05,-0.01,-5.80,20.02,-25.39,1.08,32.85,12,574,15,92
0.11,0.97,0.09,-3.05,2.99,-8.42,0.98,9.44,35,551,29,97
0.11,0.99,0.07,-0.49,2.75,-4.94,1.00,5.68,56,539,41,99
0.10,1.00,0.07,3.66,0.31,-2.44,1.00,4.41,90,537,51,110
0.11,0.99,0.08,2.56,0.85,-4.58,1.00,5.32,135,544,67,115
0.11,0.98,0.09,-1.89,0.49,-3.42,0.99,3.94,158,556,82,110
0.11,1.00,0.07,-3.97,0.06,-2.99,1.00,4.97,201,562,86,103
0.11,1.00,0.07,-2.99,-0.61,-2.99,1.01,4.27,232,569,102,87
0.11,1.00,0.08,-2.81,-0.73,-4.64,1.01,5.47,257,583,107,73
0.11,0.98,0.07,-3.54,-1.40,-5.86,0.99,6.99,267,605,117,50
0.10,0.97,0.07,-1.83,-1.95,-8.00,0.98,8.43,359,631,122,34
0.13,1.01,0.04,-1.46,-1.77,-7.87,1.02,8.20,224,660,123,19
0.12,0.91,0.06,20.81,-6.90,-16.97,0.92,27.72,231,686,134,14
0.13,0.97,0.08,14.22,-7.02,-15.01,0.98,21.84,212,711,133,7
0.14,1.09,0.09,8.00,-6.59,-15.75,1.10,18.85,206,738,142,3
0.13,1.13,0.17,8.36,-5.37,-22.83,1.15,24.90,160,757,148,2
