-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.11,1.07,0.03,2.87,-2.26,-12.02,1.08,12.57,508,576,127,22
0.11,0.99,0.07,9.46,-2.62,-14.28,0.99,17.33,363,591,134,17
0.12,1.01,0.07,8.42,-2.38,-13.43,1.02,16.03,432,608,136,14
0.13,0.99,0.08,10.38,-2.56,-17.21,1.00,20.26,477,630,138,7
0.13,1.01,0.11,6.96,-2.20,-21.91,1.03,23.09,349,661,137,1
0.14,1.02,0.12,0.43,-1.95,-28.81,1.04,28.88,372,687,139,0
0.17,1.03,0.09,-2.62,-1.71,-36.50,1.05,36.63,332,714,144,0
0.17,1.09,0.10,-2.56,-1.04,-46.14,1.11,46.23,267,738,148,0
0.20,1.11,0.10,-5.80,0.49,-54.44,1.13,54.75,204,762,150,0
0.21,1.24,0.10,-3.54,2.20,-69.95,1.26,70.07,197,792,153,0
0.22,1.35,0.11,1.53,4.39,-97.29,1.37,97.40,138,822,152,0
0.22,1.82,0.07,-7.63,8.48,-140.01,1.83,140.48,94,835,146,0
0.36,2.27,-0.16,-12.94,-0.55,-253.48,2.30,253.81,54,819,131,0
0.37,2.81,0.18,-31.49,2.87,-367.25,2.84,368.61,18,787,69,0
-0.16,2.29,-0.35,33.26,-12.70,-369.93,2.32,371.64,4,755,14,0
-0.57,1.26,-0.89,63.35,-39.92,-389.16,1.65,396.30,1,714,0,0
-0.62,-0.62,-0.79,7.32,-87.95,-151.98,1.18,175.75,1,673,0,6
-1.06,0.81,0.16,-34.61,-100.28,86.06,1.34,136.60,1,691,0,6
-0.61,0.18,-0.04,63.05,-90.94,124.94,0.64,166.90,1,683,0,6
-0.69,-0.03,-0.13,20.32,-56.52,135.50,0.71,148.21,1,678,0,6
-0.58,0.45,-0.08,-19.71,10.56,194.95,0.74,196.22,1,681,0,6
-0.02,0.70,-0.26,-30.94,41.87,226.99,0.75,232.88,1,674,0,6
0.40,0.97,-0.33,-44.07,41.99,229.55,1.10,237.49,1,684,0,7
0.49,1.03,-0.32,-62.26,13.55,227.29,1.19,236.06,1,685,0,8
0.49,1.27,-0.16,-79.77,-11.90,227.36,1.38,241.24,1,692,0,6
0.48,1.28,-0.10,-88.38,-15.99,215.15,1.37,233.14,1,697,0,5
0.65,1.43,-0.06,-125.43,-8.91,199.16,1.57,235.53,1,697,0,4
1.00,1.88,0.24,-141.97,-4.46,169.98,2.15,221.51,1,702,0,3
1.31,1.63,0.30,-114.56,-9.28,125.79,2.11,170.40,1,706,0,1
1.52,1.46,0.58,-124.88,-20.51,102.97,2.18,163.15,1,714,0,2
1.63,1.38,1.00,-119.14,-17.52,66.71,2.36,137.67,1,719,0,0
1.98,0.98,1.11,-62.50,1.34,46.33,2.47,77.81,1,716,0,1
2.13,1.37,0.85,-15.08,9.28,15.08,2.67,23.25,1,705,0,0
-0.70,-0.46,0.04,195.62,-7.87,-162.23,0.84,254.26,1,568,0,56
0.45,1.82,-0.13,191.04,-1.04,-197.75,1.88,274.96,4,401,0,100
0.08,1.42,-0.30,-0.49,12.82,-29.85,1.45,32.49,65,438,0,137
0.09,0.77,-0.02,27.47,-0.92,-13.00,0.78,30.40,126,486,36,143
0.11,1.00,-0.08,-0.18,0.00,-2.32,1.01,2.33,123,499,47,142
0.10,1.00,-0.10,0.67,-0.49,-1.77,1.00,1.96,137,502,53,141
0.10,0.99,-0.09,1.89,-0.67,-1.53,1.00,2.52,140,507,58,150
0.10,0.98,-0.09,2.75,-0.43,-1.46,0.99,3.14,174,509,63,145
0.10,0.98,-0.08,0.37,-0.24,-0.79,0.99,0.91,161,510,67,150
0.10,1.00,-0.09,-1.59,0.00,-0.85,1.01,1.80,154,518,72,145
0.09,1.00,-0.09,-0.06,-0.49,-1.28,1.01,1.37,190,526,75,137
0.09,0.99,-0.09,2.32,-0.92,-2.14,1.00,3.28,193,534,83,129
