-,-,-,-,-,-,-,-,-,-,-,-
'a'
0.13,0.97,0.03,1.34,1.10,-0.49,0.98,1.80,13,504,18,48
0.13,0.97,0.03,1.53,1.16,-0.37,0.98,1.95,14,504,17,49
0.13,0.97,0.03,1.46,1.16,-0.43,0.98,1.92,14,503,16,47
0.13,0.97,0.03,1.40,1.22,-0.31,0.98,1.89,14,503,17,45
0.13,0.97,0.03,1.10,1.22,-0.61,0.98,1.75,14,503,16,49
0.13,0.97,0.03,1.16,1.22,-0.61,0.98,1.79,14,504,17,48
0.13,0.97,0.03,1.28,1.10,-0.61,0.98,1.80,14,503,17,47
0.13,0.97,0.03,0.85,1.16,-0.61,0.98,1.56,15,502,17,48
0.13,0.97,0.03,1.34,1.28,-0.61,0.98,1.95,14,505,17,50
0.13,0.97,0.03,1.04,1.04,-0.61,0.98,1.59,14,503,16,48
0.13,0.97,0.02,1.16,1.28,-0.67,0.98,1.85,14,503,18,49
0.13,0.97,0.02,0.92,1.22,-0.37,0.98,1.57,14,503,17,51
0.13,0.97,0.02,1.28,1.10,-0.37,0.98,1.73,14,502,17,46
0.13,0.97,0.03,1.34,1.04,-0.37,0.98,1.74,14,501,15,50
0.13,0.97,0.03,1.34,0.98,-0.49,0.98,1.73,14,499,18,48
0.13,0.97,0.03,1.34,1.10,-0.55,0.98,1.82,15,501,16,49
0.13,0.97,0.03,1.34,1.16,-0.49,0.98,1.84,14,500,15,47
0.13,0.97,0.02,1.53,1.22,-0.43,0.98,2.00,14,500,16,47
0.13,0.97,0.02,1.46,0.98,-0.61,0.98,1.86,14,501,15,49
0.13,0.97,0.03,1.46,1.04,-0.49,0.98,1.86,14,500,15,48
0.13,0.97,0.03,1.83,1.10,-0.55,0.98,2.20,13,501,17,47
0.13,0.97,0.03,1.65,1.04,-0.49,0.98,2.01,14,500,15,50
0.13,0.97,0.03,1.40,1.10,-0.49,0.98,1.85,14,501,18,47
0.13,0.97,0.03,1.59,1.16,-0.49,0.98,2.03,13,501,18,49
0.13,0.97,0.03,1.28,1.10,-0.37,0.98,1.73,13,499,16,50
0.13,0.97,0.02,1.16,1.10,-0.49,0.98,1.67,13,501,18,49
0.13,0.97,0.03,1.28,1.10,-0.55,0.98,1.78,14,500,16,47
0.13,0.97,0.03,1.22,1.28,-0.67,0.98,1.89,13,500,14,49
0.13,0.97,0.03,1.28,1.16,-0.49,0.98,1.80,13,499,16,49
0.13,0.97,0.03,1.28,1.10,-0.61,0.98,1.80,13,500,16,49
0.13,0.97,0.03,1.28,1.16,-0.43,0.98,1.78,14,500,15,47
0.13,0.97,0.03,0.92,1.04,-0.67,0.98,1.54,13,499,16,49
0.13,0.97,0.02,1.28,1.28,-0.49,0.98,1.88,13,499,17,49
0.13,0.97,0.02,1.28,0.98,-0.55,0.98,1.70,14,500,16,47
0.13,0.97,0.02,1.28,1.22,-0.55,0.98,1.85,15,500,17,49
0.13,0.97,0.02,1.71,1.28,-0.43,0.98,2.18,13,500,17,47
0.13,0.98,0.02,1.46,1.10,-0.31,0.98,1.86,14,501,18,50
0.13,0.97,0.02,1.46,1.16,-0.43,0.98,1.92,13,501,16,47
0.13,0.97,0.02,1.59,1.16,-0.37,0.98,2.00,14,501,16,49
0.13,0.97,0.03,1.59,1.10,-0.24,0.98,1.95,14,501,17,50
0.13,0.98,0.02,1.53,1.10,-0.31,0.98,1.90,13,500,15,49
0.13,0.97,0.03,1.34,1.16,-0.49,0.98,1.84,13,499,15,49
0.13,0.97,0.02,1.40,1.10,-0.43,0.98,1.83,13,499,15,49
0.13,0.97,0.02,1.46,1.16,-0.24,0.98,1.88,13,501,17,49
0.13,0.97,0.02,1.40,0.92,-0.55,0.98,1.76,13,499,17,51
0.13,0.97,0.02,1.22,1.10,-0.43,0.98,1.70,13,498,15,49
0.13,0.97,0.02,1.22,1.10,-0.67,0.98,1.77,12,502,17,49
