-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.06,1.00,-0.05,42.18,-12.51,-31.68,1.00,54.21,558,615,104,30
0.07,0.98,0.00,38.02,-13.67,-33.39,0.99,52.42,459,629,112,20
0.09,0.97,0.07,20.32,-15.75,-30.21,0.97,39.67,396,648,122,15
0.08,0.99,0.10,-2.56,-6.47,-34.42,0.99,35.12,374,674,128,11
0.10,1.11,0.06,-15.99,-0.31,-43.15,1.12,46.02,488,694,134,6
0.12,1.33,-0.01,-23.56,3.23,-63.29,1.33,67.61,386,720,142,4
0.14,1.32,-0.01,-13.49,1.34,-95.58,1.33,96.54,244,747,147,0
0.14,1.30,0.04,-14.16,3.11,-125.24,1.31,126.08,193,781,151,0
0.17,1.66,-0.11,-21.42,6.47,-168.52,1.68,170.00,173,816,151,0
0.14,1.85,0.03,-15.81,-6.84,-266.24,1.85,266.79,118,839,146,0
0.07,3.10,0.30,-71.35,-2.01,-392.27,3.11,398.71,65,801,100,0
0.36,2.91,-0.32,-74.16,33.20,-425.90,2.95,433.58,15,767,36,0
-0.38,2.73,-0.77,-27.22,-6.71,-419.01,2.86,419.94,3,742,10,0
-1.01,-0.10,-1.33,-51.57,-39.73,-331.79,1.67,338.11,1,666,0,18
-1.88,1.15,0.12,-140.81,-69.64,-37.66,2.20,161.54,1,679,0,15
-0.93,1.22,0.19,18.98,-18.68,185.30,1.55,187.21,1,669,0,9
-0.53,0.72,-0.14,124.02,-13.98,233.28,0.91,264.57,1,670,0,11
-0.48,0.17,-0.34,111.39,-25.27,257.69,0.61,281.87,1,667,0,13
-0.55,0.62,-0.12,27.34,-7.57,277.28,0.84,278.73,1,660,0,13
-0.35,1.06,-0.13,17.40,37.05,290.53,1.12,293.40,1,660,0,14
-0.10,1.25,-0.34,-0.55,74.58,295.47,1.30,304.74,1,658,0,13
0.25,1.62,-0.43,-23.74,90.27,291.56,1.69,306.14,1,656,0,15
0.86,2.00,-0.48,-29.30,90.88,254.88,2.23,272.18,2,653,0,10
1.35,1.91,-0.55,-16.48,94.79,200.20,2.40,222.11,1,654,0,8
1.95,1.63,-0.69,-18.13,83.62,195.50,2.63,213.40,1,659,0,6
