-,-,-,-,-,-,-,-,-,-,-,-




'w'













0.11,0.99,0.01,4.94,0.85,-1.59,1.00,5.26,-40,1008,81,135
0.10,0.97,0.03,8.36,0.37,-2.56,0.98,8.75,-38,1010,85,132
0.10,0.97,0.03,7.20,0.24,-3.23,0.97,7.90,-38,1009,90,132
0.11,0.97,0.04,4.21,0.31,-3.85,0.97,5.71,-38,1009,96,128
0.11,0.97,0.04,2.50,0.37,-3.78,0.98,4.55,-37,1010,102,124
0.11,0.99,0.03,1.83,0.49,-4.46,1.00,4.84,-37,1010,105,121
0.11,1.00,0.03,0.55,1.65,-7.32,1.01,7.53,-36,1010,116,108
0.11,1.00,0.04,-2.01,2.01,-15.08,1.00,15.34,-36,1009,123,84
0.16,1.01,-0.00,1.16,-0.73,-21.61,1.02,21.65,284,590,131,46
0.13,0.90,0.05,21.91,-6.53,-34.85,0.91,41.68,227,640,140,20
0.12,1.43,0.07,-9.95,1.28,-75.38,1.43,76.04,213,701,146,9
0.18,1.88,0.07,-16.11,3.66,-127.69,1.89,128.75,117,744,148,6
0.03,2.34,-0.07,2.08,-4.88,-209.17,2.34,209.23,55,780,158,3
0.08,2.56,-0.18,25.39,-12.39,-315.06,2.57,316.33,22,795,147,1
-0.16,3.39,0.35,13.73,-12.45,-422.12,3.41,422.53,6,833,78,2
0.86,2.14,-0.57,70.62,-0.12,-467.22,2.37,472.53,2,813,33,4
-0.25,0.71,-0.85,40.34,-54.14,-359.38,1.14,365.66,1,815,13,17
-1.74,0.52,-0.55,-70.74,-96.80,43.58,1.89,127.57,1,821,13,17
-0.84,0.91,0.10,-55.60,-57.98,161.56,1.24,180.43,1,815,12,16
-0.76,0.43,-0.01,13.12,6.41,146.12,0.87,146.85,1,816,9,17
-0.74,0.23,-0.25,10.80,39.00,196.53,0.81,200.66,1,813,9,17
-0.72,0.66,-0.13,-28.75,42.36,252.56,0.99,257.70,2,822,10,17
-0.56,1.00,0.03,-31.56,37.48,292.97,1.15,297.04,2,818,10,17
-0.33,1.28,0.11,-26.73,34.61,306.76,1.32,309.86,1,826,11,15
0.05,1.43,0.04,-24.11,20.63,305.85,1.43,307.49,2,824,12,15
0.43,1.90,0.13,-39.55,-16.05,239.75,1.95,243.52,2,828,14,16
0.34,2.31,0.33,-34.61,-36.44,261.78,2.36,266.56,2,834,14,14
0.44,2.49,0.53,-22.71,18.92,256.41,2.58,258.11,3,839,14,14
1.79,2.34,-0.02,-26.31,97.41,292.24,2.95,309.17,3,838,13,13
3.39,1.28,-0.70,-2.81,105.10,226.32,3.69,249.55,3,820,15,15
4.00,1.05,0.32,-111.51,37.23,124.82,4.15,171.46,2,810,11,11
3.69,3.97,1.14,-36.62,67.26,-39.98,5.54,86.39,3,737,10,20
-0.67,0.84,-0.01,-2.69,60.18,-239.87,1.08,247.32,3,563,6,69
0.10,1.13,0.10,-0.37,54.93,-275.45,1.14,280.88,2,579,12,98
0.48,1.44,0.23,15.56,0.31,-220.64,1.54,221.19,-57,1000,16,126
0.27,0.91,0.01,11.78,-2.08,-72.51,0.95,73.49,-47,1003,15,135
0.17,0.96,0.03,7.87,-2.08,-23.80,0.98,25.16,-41,1007,24,134
0.12,0.99,0.00,-1.71,-0.37,-8.67,1.00,8.84,-40,1007,46,131
0.11,0.96,0.01,1.65,-0.98,-3.30,0.97,3.81,-39,1008,57,137
0.11,0.99,0.00,0.67,-0.73,-1.16,0.99,1.53,-40,1009,65,141
0.11,0.98,0.01,4.09,-0.24,0.49,0.99,4.13,-38,1008,66,146
0.10,0.97,0.02,2.93,0.24,0.31,0.97,2.96,-39,1009,68,147
0.10,0.97,0.02,-3.66,0.61,-0.55,0.97,3.75,-40,1008,72,145
0.10,0.99,0.00,-6.35,1.77,-0.55,1.00,6.61,-38,1009,65,141
0.10,0.99,-0.00,3.30,1.53,-0.98,1.00,3.76,-39,1008,70,140
0.10,0.97,0.01,7.08,1.40,-1.53,0.97,7.38,-38,1009,74,133
