-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.14,0.97,0.08,2.56,1.10,-3.11,0.99,4.18,188,465,74,98
0.14,0.96,0.08,2.99,1.16,-3.91,0.98,5.05,288,474,82,91
0.14,0.96,0.08,3.66,1.28,-4.70,0.97,6.09,222,482,86,75
0.15,0.97,0.08,3.72,1.04,-5.74,0.98,6.92,211,492,86,61
0.15,0.97,0.09,4.76,0.49,-8.00,0.98,9.32,231,512,93,43
0.16,0.97,0.09,3.54,0.49,-10.56,0.98,11.15,200,536,98,27
0.15,1.07,0.06,-1.16,0.18,-12.82,1.08,12.87,229,568,107,15
0.16,0.95,0.11,1.95,0.49,-17.21,0.97,17.33,196,608,115,7
0.11,0.99,0.15,-7.75,5.00,-22.77,1.01,24.56,143,652,116,0
0.15,1.15,0.16,-19.53,12.21,-52.80,1.17,57.60,139,714,123,0
0.19,1.38,0.19,-28.50,16.42,-92.04,1.40,97.74,53,778,131,0
0.13,1.62,0.22,-33.94,23.01,-132.45,1.64,138.65,24,804,134,0
0.15,1.54,0.11,-30.52,31.37,-176.76,1.55,182.10,12,829,126,0
0.21,1.59,0.18,-31.98,42.18,-240.78,1.61,246.53,7,847,97,0
0.47,1.47,0.08,-44.07,47.79,-275.88,1.55,283.43,3,855,55,0
0.58,1.48,-0.06,-54.38,45.59,-278.44,1.59,287.34,1,817,22,0
0.29,0.54,-0.09,-20.39,27.89,-264.47,0.62,266.71,0,0,9,2
-0.44,0.29,-0.33,8.91,10.31,-104.61,0.62,105.50,0,0,2,3
-0.46,0.61,-0.04,10.56,-68.24,56.21,0.77,89.04,0,0,1,4
-0.56,0.43,0.05,41.26,-86.55,90.09,0.70,131.56,0,0,1,4
-0.64,0.38,0.05,44.98,-69.95,139.65,0.74,162.54,0,0,0,3
-0.59,0.58,0.05,26.79,-43.58,192.26,0.83,198.95,0,0,0,4
-0.26,0.93,0.07,10.80,-11.05,224.12,0.97,224.65,0,0,0,4
-0.03,1.27,0.09,7.20,-8.61,234.74,1.27,235.01,0,0,1,3
0.25,1.53,0.09,8.12,-13.31,231.81,1.55,232.33,0,0,0,3
0.44,1.71,0.08,-1.53,-20.63,209.53,1.76,210.55,0,0,0,3
0.53,1.84,0.22,-12.21,-17.21,163.02,1.93,164.38,0,0,1,3
0.71,1.68,0.15,1.65,-0.67,155.46,1.83,155.47,0,0,1,0
0.93,1.28,-0.08,7.69,-0.61,205.81,1.58,205.96,0,0,0,3
1.41,1.35,-0.12,-5.98,-18.31,231.02,1.95,231.82,0,0,0,2
1.82,1.04,-0.01,-15.14,-19.47,132.81,2.10,135.08,0,0,0,1
1.90,0.60,0.15,-17.15,-13.00,75.50,2.00,78.51,0,0,0,2
0.84,2.16,2.41,-0.06,0.67,11.23,3.34,11.25,0,0,0,9
-0.09,1.84,-0.28,-51.51,36.99,-158.81,1.86,171.01,0,0,0,57
-0.15,0.97,0.01,-3.30,7.87,-211.18,0.98,211.35,1,227,0,108
