-,-,-,-,-,-,-,-,-,-,-,-
'w'
0.33,1.99,-0.24,29.30,-12.39,-270.08,2.04,271.95,6,887,126,0
0.41,1.69,-0.15,70.56,-17.33,-293.09,1.75,301.96,2,891,83,0
0.35,1.23,-0.12,26.67,-24.23,-267.82,1.29,270.24,1,897,43,1
0.06,0.80,-0.24,-3.17,-32.29,-246.52,0.83,248.65,0,0,23,8
-0.59,0.74,-0.03,-32.35,-42.24,-234.38,0.94,240.34,0,0,10,12
-0.86,0.39,0.07,1.53,-28.81,-92.96,0.95,97.33,0,0,8,14
-0.62,0.31,-0.10,4.64,-0.43,78.49,0.70,78.63,0,0,7,11
-0.46,0.58,0.04,-8.67,7.45,169.01,0.74,169.39,0,0,7,11
-0.33,0.56,0.05,7.63,-12.76,211.73,0.65,212.25,0,0,5,14
-0.32,0.87,0.30,2.14,-8.24,219.91,0.98,220.07,0,0,0,14
-0.20,0.92,0.12,16.48,25.15,240.05,0.95,241.93,0,0,0,12
0.11,1.15,-0.06,-5.86,50.05,239.99,1.16,245.22,0,0,0,14
0.36,1.51,-0.08,-13.31,50.11,234.44,1.55,240.10,0,0,0,12
0.45,1.59,-0.15,-9.34,39.49,220.40,1.66,224.10,0,0,0,13
0.57,1.63,-0.25,-11.60,18.80,204.16,1.74,205.35,0,0,0,11
0.59,1.59,-0.26,-18.19,-6.53,184.88,1.71,185.88,0,0,0,12
0.62,1.51,-0.30,-33.51,-27.89,135.68,1.66,142.51,0,0,0,12
0.61,1.35,-0.37,-49.62,-50.42,95.40,1.53,118.76,0,0,0,11
0.53,1.27,-0.30,-77.45,-69.82,64.39,1.40,122.56,0,0,0,10
0.51,1.38,-0.09,-99.12,-77.33,57.86,1.48,138.39,0,0,0,8
0.36,0.94,0.13,-104.61,-83.86,101.99,1.02,168.46,0,0,0,10
0.54,1.43,0.69,-116.82,-60.42,131.10,1.68,185.71,0,0,2,10
1.40,1.02,0.51,-59.63,-0.43,83.74,1.80,102.80,0,0,0,8
1.93,0.89,0.60,-74.04,34.42,30.09,2.21,87.02,0,0,0,7
1.00,1.31,0.80,4.76,81.79,-87.40,1.83,119.80,0,0,0,16
-0.64,0.97,-0.02,232.18,89.84,-174.13,1.16,303.81,0,0,0,53
0.62,1.51,0.60,41.56,72.39,-218.14,1.74,233.56,0,0,0,112
0.69,1.14,0.12,-22.89,17.52,-118.53,1.34,121.98,4,608,0,148
0.21,0.99,0.09,7.87,2.81,-11.78,1.01,14.44,37,634,49,150
0.05,1.06,-0.02,-8.73,2.50,-0.37,1.06,9.09,41,649,61,148
0.04,1.00,-0.02,-2.32,1.40,-0.12,1.00,2.71,41,658,72,146
0.04,1.01,-0.01,4.82,0.55,-0.43,1.01,4.87,35,668,83,146
0.04,0.97,0.02,7.32,0.18,-0.98,0.98,7.39,34,668,85,142
0.04,0.98,0.02,-0.31,0.18,-0.49,0.98,0.60,36,665,95,151
0.04,1.01,0.00,-0.61,0.00,-0.61,1.01,0.86,45,659,101,152
0.04,1.00,0.01,2.20,-0.06,-1.10,1.00,2.46,37,661,105,150
0.04,0.99,0.02,2.99,-0.31,-0.73,0.99,3.09,39,664,111,151
0.04,0.99,0.02,0.37,-0.12,-0.67,0.99,0.77,41,679,118,146
0.04,1.00,0.01,0.18,-0.24,-1.10,1.00,1.14,45,694,116,135
0.04,0.99,0.02,2.01,-0.55,-1.65,0.99,2.66,44,704,123,130
0.04,0.99,0.02,1.34,-0.61,-1.95,0.99,2.45,40,716,133,126
0.04,0.98,0.02,0.12,-0.55,-2.26,0.98,2.33,41,723,139,118
0.04,1.03,0.02,0.79,-1.10,-2.69,1.03,3.01,43,727,143,103
0.04,0.97,0.03,-0.24,-1.10,-3.48,0.97,3.66,47,728,149,96
0.04,0.98,0.02,-0.18,-1.46,-3.78,0.98,4.06,67,730,151,80
0.05,1.00,0.01,-1.77,-1.10,-4.09,1.00,4.59,73,741,157,65
0.06,1.03,0.00,-2.62,-1.77,-5.74,1.04,6.55,74,751,156,48
